timestamp,temperature (°C),humidity (%),pressure (hPa),rssi,acceleration x,acceleration y,acceleration z,voltage,movement counter,measurement sequence number
2020-11-29T18:31:24+0100,2.38,53.7225,909.31,-81,-0.024,0.004,1.044,2.869,99,9069
2020-11-29T18:31:25+0100,2.38,53.7125,909.31,-96,-0.028,0.012,1.036,2.869,99,9070
2020-11-29T18:31:27+0100,2.38,53.7125,909.31,-63,-0.024,0.008,1.048,2.869,99,9071
2020-11-29T18:31:31+0100,2.38,53.69,909.32,-65,-0.024,0.012,1.04,2.857,99,9074
2020-11-29T18:31:32+0100,2.38,53.69,909.32,-85,-0.024,0.012,1.04,2.857,99,9075
2020-11-29T18:31:34+0100,2.38,53.6775,909.32,-64,-0.024,0.012,1.036,2.857,99,9076
2020-11-29T18:31:38+0100,2.38,53.655,909.33,-83,-0.032,0.004,1.04,2.857,99,9080
2020-11-29T18:31:41+0100,2.38,53.6775,909.32,-85,-0.028,0.012,1.044,2.857,99,9082
2020-11-29T18:31:45+0100,2.38,53.665,909.32,-78,-0.028,0.012,1.044,2.857,99,9085
2020-11-29T18:31:47+0100,2.37,53.665,909.31,-79,-0.032,0.004,1.036,2.857,99,9087
2020-11-29T18:31:49+0100,2.37,53.655,909.31,-82,-0.024,0.004,1.044,2.857,99,9088
2020-11-29T18:31:51+0100,2.37,53.6775,909.31,-88,-0.032,0.008,1.04,2.863,99,9090
2020-11-29T18:31:52+0100,2.37,53.6775,909.31,-89,-0.028,0.012,1.044,2.863,99,9091
2020-11-29T18:31:54+0100,2.37,53.6775,909.31,-63,-0.024,0.004,1.048,2.863,99,9092
2020-11-29T18:31:57+0100,2.37,53.6775,909.31,-63,-0.02,0.012,1.04,2.863,99,9094
2020-11-29T18:31:58+0100,2.37,53.6775,909.31,-84,-0.028,0.008,1.036,2.863,99,9095
2020-11-29T18:32:00+0100,2.37,53.665,909.31,-80,-0.032,0.008,1.04,2.863,99,9097
2020-11-29T18:32:01+0100,2.36,53.675,909.3,-86,-0.028,0.008,1.04,2.863,99,9098
2020-11-29T18:32:03+0100,2.36,53.665,909.31,-64,-0.028,0.012,1.044,2.857,99,9099
2020-11-29T18:32:05+0100,2.36,53.675,909.3,-92,-0.024,0.012,1.04,2.857,99,9101
2020-11-29T18:32:07+0100,2.36,53.6875,909.3,-64,-0.028,0.008,1.04,2.857,99,9102
2020-11-29T18:32:08+0100,2.36,53.665,909.3,-76,-0.028,0.008,1.036,2.857,99,9103
2020-11-29T18:32:10+0100,2.36,53.6875,909.3,-83,-0.024,0.008,1.044,2.857,99,9105
2020-11-29T18:32:13+0100,2.36,53.6975,909.31,-64,-0.032,0.004,1.044,2.857,99,9107
2020-11-29T18:32:14+0100,2.36,53.6875,909.31,-80,-0.028,0.008,1.044,2.857,99,9108
2020-11-29T18:32:16+0100,2.36,53.675,909.32,-87,-0.024,0.012,1.04,2.857,99,9109
2020-11-29T18:32:19+0100,2.36,53.6875,909.32,-84,-0.02,0.012,1.044,2.857,99,9112
