timestamp,temperature (°C),humidity (%),pressure (hPa),rssi,acceleration x,acceleration y,acceleration z,voltage,movement counter,measurement sequence number
2020-12-06T17:23:08+0100,18.27,29.13,886.06,-65,-0.028,-0.036,1.012,2.791,203,19694
2020-12-06T17:23:08+0100,18.27,29.1175,886.06,-61,-0.028,-0.032,1.008,2.791,203,19695
2020-12-06T17:23:10+0100,18.27,29.14,886.06,-66,-0.024,-0.032,1.012,2.791,203,19696
2020-12-06T17:23:20+0100,18.27,29.1275,886.05,-76,-0.02,-0.036,1.02,2.791,203,19698
2020-12-06T17:23:29+0100,18.27,29.1275,886.06,-89,-0.024,-0.036,1.016,2.791,203,19699
2020-12-06T17:23:37+0100,18.27,29.1275,886.06,-89,-0.016,-0.028,1.02,2.791,203,19700
2020-12-06T17:23:44+0100,18.27,29.1275,886.05,-68,-0.024,-0.036,1.012,2.791,203,19702
2020-12-06T17:23:48+0100,18.27,29.1275,886.05,-77,-0.02,-0.032,1.012,2.791,203,19705
2020-12-06T17:23:53+0100,18.26,29.14,886.04,-70,-0.024,-0.032,1.016,2.791,203,19709
2020-12-06T17:23:54+0100,18.26,29.1725,886.04,-91,-0.024,-0.036,1.012,2.791,203,19735
2020-12-06T17:23:54+0100,18.26,29.15,886.04,-83,-0.024,-0.032,1.012,2.791,203,19710
2020-12-06T17:23:54+0100,18.26,29.1625,886.05,-83,-0.024,-0.036,1.016,2.791,203,19712
2020-12-06T17:23:54+0100,18.26,29.1625,886.04,-82,-0.024,-0.032,1.008,2.791,203,19715
2020-12-06T17:23:54+0100,18.26,29.1625,886.04,-60,-0.024,-0.04,1.02,2.791,203,19716
2020-12-06T17:23:54+0100,18.26,29.175,886.04,-65,-0.028,-0.04,1.012,2.791,203,19717
2020-12-06T17:23:54+0100,18.26,29.15,886.04,-61,-0.032,-0.04,1.016,2.785,203,19719
2020-12-06T17:23:54+0100,18.26,29.1625,886.04,-62,-0.024,-0.036,1.016,2.785,203,19721
2020-12-06T17:23:54+0100,18.26,29.1625,886.04,-64,-0.024,-0.036,1.02,2.785,203,19723
2020-12-06T17:23:55+0100,18.26,29.1725,886.05,-81,-0.02,-0.028,1.02,2.785,203,19724
2020-12-06T17:23:55+0100,18.26,29.1725,886.05,-79,-0.028,-0.036,1.016,2.785,203,19725
2020-12-06T17:23:55+0100,18.26,29.1725,886.05,-86,-0.032,-0.028,1.02,2.785,203,19726
2020-12-06T17:23:55+0100,18.26,29.185,886.05,-65,-0.024,-0.04,1.016,2.791,203,19727
2020-12-06T17:23:55+0100,18.26,29.1625,886.04,-83,-0.024,-0.04,1.012,2.791,203,19729
2020-12-06T17:23:55+0100,18.26,29.1625,886.04,-78,-0.024,-0.032,1.012,2.791,203,19732
2020-12-06T17:23:55+0100,18.26,29.1625,886.05,-84,-0.024,-0.04,1.012,2.791,203,19733
2020-12-06T17:23:55+0100,18.26,29.1725,886.05,-82,-0.024,-0.032,1.016,2.791,203,19734
2020-12-06T17:23:55+0100,18.26,29.185,886.04,-76,-0.024,-0.032,1.016,2.791,203,19736
2020-12-06T17:23:55+0100,18.26,29.185,886.04,-81,-0.02,-0.036,1.012,2.791,203,19737
2020-12-06T17:23:57+0100,18.26,29.195,886.03,-82,-0.024,-0.04,1.012,2.791,203,19738
2020-12-06T17:23:59+0100,18.26,29.1725,886.03,-75,-0.024,-0.032,1.004,2.791,203,19740
2020-12-06T17:24:01+0100,18.26,29.185,886.04,-78,-0.024,-0.036,1.016,2.791,203,19741
2020-12-06T17:24:03+0100,18.26,29.195,886.04,-64,-0.028,-0.036,1.016,2.791,203,19743
